"id","content"
"1f16dw7","Bacteria helping to extract rare metals from old batteries in boost for green tech | Team at University of Edinburgh using microbes to recycle lithium, cobalt and other expensive minerals"
"1f1lpu5","New EV battery transforms waste energy into power for extended range | DEOGAM is currently field-testing their innovative battery in 500 Hyundai Ioniq 5 taxis on Jeju Island, South Korea."
"1f1mel1","Artificial sun: Nuclear fusion closer to reality with this new method"
"1f1mgoi","How Do You 3D Print Glass? Precisely shaped glass is a tricky substance for additive manufacturing"
"1f1qbna","Tiny might: Nanoparticles with huge surface area created to capture carbon | The nanoparticles could be used to curb emissions from various industries including cement and metals."
"1f1qmlm","New Laser Could Cram GPS Alternative Into a Shoebox | Cold-atom interferometers' precise navigation is hampered by size and cost"
"1f2d32v","Tiny 8mm mind-reading chip turns thoughts into text with 91% accuracy | By converting thoughts into text, the MiBMI offers a revolutionary communication tool for people with severe motor disabilities."
"1f2d3lt","Japan’s manganese-boosted EV battery hits game-changing 820 Wh/Kg, no decay | Manganese anodes in Li-ion batteries achieved 820 Wh/kg, surpassing NiCo batteries’ 750 Wh/kg."
"1f2g9s1","H2Starfire: New hydrogen engine boasts 60% efficien"
"1f37b0t","No glue required: Wood and metal bonded with sound and 3D printing | The two methods create super strong bonds at the pore level, eliminating the need for caustic adhesives."
"1f37d91","China scientists’ breakthrough flow battery hits 850 cycles, retains 99.95% capacity | With new organic molecules, the organic flow battery performed well for 600 cycles without a drop in capacity."
"1f39h04","New wood-based material captures, releases CO2 on demand"
"1f3ybqz","Injectable pacemaker regulates heartbeat for 5 days then dissolves"
"1f3ye3p","Blood glucose affects voice pitch, with potential for diabetes monitoring"
"1f405uc","4-hour power: World’s 1st 62-mile-range hydrogen-powered drone soars in China | The drone weighs around 42 pounds (19kg), carries up to 13 pounds (6kg), flies for over 4 hours, and boasts industry-leading performance and design."
"1f42amw","Every second counts: New blood test detects brain cancer in an hour"
"1f47r05","New Device Listens for Blood Pressure | Ultrasound monitoring allows for continuous, non-invasive measurements"
"1f4qhs4","Low cost ‘smart mask’ can detect disease from breath, researchers say | Hopes that device may improve diagnosis and monitoring of conditions such as lung and kidney disease"
"1f4u3en","ETH unveils iron-based hydrogen storage that’s 10x cheaper, safer"
"1f4ulwr","New method turns plastic waste into valuable resources with vaporizing process | The new catalysts simplify the process by eliminating the need for a previously crucial step: removing hydrogen to create breakable points in the plastic’s structure."
"1f585kx","The world’s fastest microscope captures electrons down to the attosecond"
"1f5kl9n","World’s largest air-to-water heat pump to warm 30,000 homes in Finland | The heat pump will supply 200 GWh of energy annually and help save 26,000 tonnes of carbon emissions."
"1f5mjyd","Heart simulator with nanoparticles can temporarily correct arrhythmia"
"1f5w5l2","Researchers unlock cheap way to vaporize plastic and use it to make more plastic | The breakthrough enables a circular economy where plastic doesn't end up sitting in landfills"
"1f6aztx","Fungus learns to drive in ""biohybrid"" robots | A new kind of “biohybrid” robot moves in response to signals from the nervous system of a fungus."
"1f6bw4x","Highly efficient perovskite nanocrystals to help develop next-gen ultra-HD LEDs | Perovskites aren’t just limited to solar cells, they have the potential to provide the world with the best light emitters and displays ever witnessed."
"1f6ebgv","New fusion reactor design promises unprecedented plasma stability"
"1f75zho","New hydrogel ‘invention’ could slow, treat arthritis in early stages, claims China | This breakthrough development brings hope for millions of people suffering from osteoarthritis."
"1f7sdla","Exploring peptide clumping for improved drug and material solutions"
"1f7vzho","Sweat-powered finger wrap tracks glucose, vitamins, drug levels in your body | The device operates using biofuel cells positioned where it contacts the fingertip, which efficiently collect and convert chemicals in sweat into electricity."
"1f7y4jv","US firm plans Santa-like spaceplane launches with rocket-powered sled"
"1f7yhxc","UK aims for nuclear power breakthrough with ‘world-leading’ reactor design | STEP will aim to demonstrate net energy from fusion and pave the way for the commercialization of fusion energy."
"1f8h8x0","World’s 1st platinum-magnesium fuel cell catalyst unveiled, to boost efficiency | Scientists say the new fuel cell catalyst made from platinum and magnesium delivers exceptional efficiency and durability, potentially transforming clean energy technology."
"1f8qmx0","Sensor-powered pen transforms Braille into English text with 84.5% accuracy | The device’s real-time algorithm and tactile sensors make it a promising tool for learning and using Braille."
"1f8vmp0","Prototype quantum processor hits record 99.9% qubit fidelity in a major milestone | The achievement marks a way toward “fault-tolerant” quantum computing."
"1f9jqt9","US aims new water-based battery to power gird-scale energy storage"
"1f9jubc","World’s 1st petahertz-frequency mixer advances ultra-fast communication tech | Petahertz-frequency mixers would enable the transmission and processing of vastly larger amounts of information at many times higher speeds."
"1f9tzvi","How the Marine Corps is testing a ‘narco-boat’ for resupply efforts"
"1fa1twv","Scientists use food dye found in Doritos to make see-through mice"
"1fabf6p","MIT’s new silk-cellulose water filter blocks stubborn forever chemicals, metals | The new silk-cellulose filter outperforms traditional materials in removing contaminants, with strong antimicrobial properties that prevent fouling."
"1facruk","Low-cost EPR sensor on chip to boost quality control of food products"
"1faenle","Shapeshifting aircraft could be possible with new alloy that stretches 20 times | Shape-shifting aircraft have remained a part of science-fiction for decades, not any more."
"1fb4usb","US nuclear reactor breakthrough unravels plutonium oxide’s secrets at 3000 K | The research team employed an innovative method by suspending small samples of PuO2 in a gas stream and then heating them with a laser."
"1fbw0s6","'Modular' approach can help connect, control millions of qubits"
"1fcmmnx","China-US team creates plant-based nanoparticles to fight deadliest brain cancer | These nanoparticles are designed to penetrate the blood-brain barrier and target tumor cells directly."
"1fcn9ma","New muscle-powered robot leg promises more speed, energy savings"
"1fcpa68","Doctors have successfully operated on a pig – from 5,780 miles away | Using a video game controller, surgeons in Switzerland successfully performed an endoscopy on a pig in Hong Kong, paving the way for remote procedures in humans in areas where local expertise isn’t available."
"1fd7dfi","Newly Discovered Antibody Protects Against All COVID-19 Variants"
"1fde42d","First-ever 3D metal printing in space achieved on ISS | Built with Airbus, the Metal 3D Printer completed the first of four test shapes."
"1fde58y","Japan starts removing melted nuclear fuel 13 years after Fukushima disaster  | Advanced robotic technology, including a fishing rod-like arm, is being used to extract hazardous material from Fukushima’s reactors amid high radiation levels."
"1fdfytm","Princeton researchers bend DNA strands with light to probe the genome"
"1fdh122","New filtration material could remove long-lasting chemicals from water Membranes based on natural silk and cellulose can remove many contaminants, including “forever chemicals” and heavy metals."
"1fdj8bd","Wireless system WaveCore penetrates concrete walls without drilling | The system achieved a 4 Gbps connection through a 12-inch concrete wall"
"1fe638g","Why you should always be wary of insider threats: A disgruntled employee at a US industrial firm deleted backups and locked IT admins out of workstations in a failed data extortion attempt"
"1fe85uv","Polaris’ new MIRA prototype to fly with world’s 1st aerospike engine"
"1fe9ln0","World’s strongest battery could extend EV range by 70%, make phones credit card-thin | The structural battery uses carbon fiber for its electrodes negating need for copper or aluminum, which add weight."
"1ff0cht","New sugar-based polymer could help remove heavy metals from water"
"1ff0lvt","Solar device makes 20L drinking water a day from seawater with 93% efficiency | The new device converts 93% of sunlight into usable energy, producing 20 liters of fresh water per square meter daily, significantly improving upon traditional desalination methods."
"1ffsme4","Nature-inspired 'Pyri' wildfire detector wins James Dyson Award"
"1ffvgbm","Tiny laser creates 180,000°F, 800 million times atmospheric pressure in cosmic simulation | In a series of precise measurements, the scientists varied the timing between the laser pulse and the X-rays passing through the target."
"1fgkm47","Fluorescent nanomaterial to be used without lab, can transform forensics"
"1fhae9c","CO2 turned into fuel: Japan’s scientists convert captured carbon into green fuel | The new electrochemical cell converts bicarbonate (from captured carbon) into formate, a potent green fuel."
"1fhayyb","Breakthrough edge state in atoms could lead to infinite energy sources"
"1fi0gog","""Golden Lettuce"" genetically engineered to pack 30 times more vitamins"
"1fiwwnd","Engineers create powerful battery ‘fuel’ that stores energy even in low sun, wind | The team created a novel electrolyte, an acetamide and ε-caprolactam solvent, to aid in the battery’s energy storage and release."
"1fix1ev","Neuralink rival Synchron achieves 1st Alexa control via brain chip"
"1fj209n","Germany unveils solar roof tile that powers heat pumps as well as homes | Each solar roof tile can generate 44 W of output, meaning just fives tiles can generate 200 W of power."
"1fjizwz","NHS scientists find new blood group solving 50-year mystery"
"1fjnzjq","World-first ADHD headband treats symptoms in 20 minutes per day"
"1fjrdu4","Engineers create squid-inspired magnetic screen for encrypted displays "
"1fju3pm","Transparent solar cell technology could allow smartphones and cars to self-charge | Breakthrough in solar cell modularization paves way for commercial applications"
"1fkg9yi","World’s largest ethanol-to-jet fuel plant finalized, 250mn gallon yearly output | The 60-acre facility will revolutionize the global aviation industry by providing a scalable supply of low-carbon jet fuel."
"1fkjqih","Solar fuels soon? Researchers succeed in making ethylene from CO2"
"1fkk8x5","Indestructible 5D memory crystals to store humanity’s genome for billions of years | These crystals can store up to 360 terabytes of data for billions of years, resisting degradation even in extreme temperatures."
"1fkke4u","Hollow concrete mimics human bones for 5x better toughness | Engineers have developed a new kind of concrete that promises more than 5 times the damage resistance of the usual stuff, by poking holes in its structure."
"1fkmmcj","Scientists have demonstrated a new potential treatment for bone cancer | A bioactive glass laced with a toxic metal was able to kill up to 99% of the cancer without harming healthy cells, and could even help regrow healthy bone after."
"1fl82k8","Molten salt battery can replace lithium devices, works in heat without catching fire | The high-temperature battery uses molten salt as the electrolyte."
"1fl9xm6","Highly toxic gallium kills 'greedy' cancer cells with 99% accuracy, study says"
"1flae6f","Trash to tower: MIT engineers 3D-print LEGO-like glass bricks as tough as concrete | The researchers used soda-lime glass, commonly found in glassblowing studios, to produce prototype bricks."
"1flc1qq","World’s first antenna that turns glass windows into 5G towers unveiled in Japan | Wave Antenna has no external presence and helps improve 5G coverage in urban areas."
"1fm0m66","Defeating AIDS: MIT reveals new vaccination method that could kill HIV in just two shots |  MIT researchers found that the first dose primes the immune system, helping it generate a strong response to the second dose a week later."
"1fm1y0m","Nuclear fusion: ORNL's method to identify new alloys for reactors"
"1fmofe0","Researchers Store Entire Human Genome on ‘Everlasting’ 5D Memory Crystal "
"1fnf9ov","US to hit energy jackpot with 2,200 MW floating plant that will power 770,000 homes |  The total power capacity of approved projects is now over 15 GW, with more than 5 GW being installed and over 300 MW already working."
"1fninkc","New gold nanoparticles offer a better way to analyze kidney health"
"1fnj024","Red to rescue: Scientists turn CO2 into a powerful cancer-fighting compound | A new bacteria-based technology could help combat climate change while producing a valuable antioxidant."
"1fo7f6j","OpenAI CEO: We may have AI superintelligence in “a few thousand days”"
"1fo8krf","10,000-year-old DNA, oldest ever in South Africa, shows country’s genetic consistency | Researchers from South Africa just successfully sequenced the genomes of 13 individuals that lived 1,300-10,000 years ago."
"1fo9vxk","Stretchy Wearables Can Now Heal Themselves | Korean breakthrough material opens up new path to biosensors and stimulators"
"1fobs7x","New rebar-tying robot could speed up construction, ease worker strain"
"1foenle","HORSE kicks off production of powerful 1.2L hybrid engines for EVs"
"1fp01j6","""World-first"" indoor vertical farm to produce 4M pounds of berries a year"
"1fp0gdm","New nasal spray offers 99.99% protection against flu, pneumonia, COVID-19 | In treated mice, virus levels in the lungs dropped by more than 99.99%, with normal levels of inflammatory cells and cytokines observed, indicating effective protection against infection."
"1fp37aw","New fireproof fabric can defend EV batteries from 2,300°F flames"
"1fpsehd","World’s largest waste-to-hydrogen plant unveiled, 30,000 tons yearly output |  Hyundai Engineering aims to contribute to sustainability by transforming plastic waste into hydrogen, accelerating the transition to a hydrogen society."
"1fpt92t","Thermoelectric generator pulls energy from room temperature heat | Scientists in Japan have developed a new organic device that can harvest energy from heat. Unlike other thermoelectric generators, this one works at room temperature without a heat gradient."
"1fpup3q","Project Pele: US starts building unique 5MW mobile nuclear reactor"
"1fqkyk2","Scientists turn toothpaste into edible transistors for smart health tracking | Copper phthalocyanine, known for its teeth-whitening properties, can also be used as a semiconductor material."
"1fqlsrg","Breakthrough sun-powered tech pulls lithium from seawater, redefining energy | A membrane-free electrochemical cell separates lithium ions between brine and fresh water using iron-phosphate electrodes."
"1frdh69","ITER: First 5,200-ton vacuum vessel built to contain plasma for fusion"
"1frh98p","Meet LISA: The $1.6 Billion Space Telescope That Will Redefine Astronomy"
"1frrz4e","Robot hand can detach from arm, crawl over to objects, and pick them up"
"1fs2vw2","Samsung unveils world’s first ultra-small solid-state battery"
"1fssrie","Knit wit: 1st-ever cat cap that measures brain activity without sedation | In a first, veterinary scientists have successfully scanned the brains of cats in a conscious state."
"1fsui2r","UK explores world’s most powerful tidal turbine to unlock clean energy"
"1ftl54s","Hybrid energy raft could power 1,000 homes daily with wave, wind, solar | The power plant is a 38-meter raft with wind turbines and solar panels, generating about 1 MW with a 40% capacity factor."
"1ftl70b","Laser headband non-invasively IDs stroke risk in real time | Researchers have developed a wearable laser-based device that monitors brain blood flow changes and volume when a patient holds their breath."
"1ftn34s","Caltech's laser headset becomes 1st-ever device to predict stroke noninvasively"
