"id","name","API","latitude","longitude","block_stats","well_status","well_type","closest_city","filename"
"25","Chalmers Wade Federal","33-053-06012",NULL,NULL,"[{""number"": ""280"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""52"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28601"
"26","Wade Federal 5300 41-30 4T","33-053-05943","48.042350","-103.603169","[]",NULL,NULL,NULL,"W28394"
"27","Chalmers 5300 31-19H","33-053-03472","48.057353","-103.602614","[]",NULL,NULL,NULL,"W20407"
"28","Colville","33-053-04981","48.082717","-103.608022","[{""number"": ""1.2 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""2.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25571"
"29","Atlanta 3-6H","33-105-02730","48.109352","-103.731179","[{""number"": ""226"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""526"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23370"
"30","Kline Federal 5300 11-18","33-053-06243","48.079356","-103.602831","[{""number"": ""332"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""2.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W29334"
"31","Atlanta","Not Found","48.109997","-103.731825","[]",NULL,NULL,NULL,"W90258"
"32","Atlanta 4-6H","33-105-02729","48.109352","-103.730995","[{""number"": ""430"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""813"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23369"
"33","Chalmers 5300 21-19","33-053-06019","48.061653","-103.602808","[{""number"": ""168"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""503"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28634"
"34","Lewis Federal 5300 21-31","33-053-05845",NULL,"-103.603106","[{""number"": ""1.9 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""6.8 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28190"
"35","Gramma Federal 5300","33-053-06231","48.026172","-103.602875","[{""number"": ""100"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""235"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W29316"
"36","Tallahassee 3-16H","33-053-04853","48.075137","-103.670005","[{""number"": ""311"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""688"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25157"
"37","Atlanta Federal 6-6H","33-105-02727","48.109272","-103.732489","[{""number"": ""81"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""316"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23367"
"38","Chalmers 5300 21-19","33-053-06023","48.061381","-103.636142","[{""number"": ""489"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28648"
"39","Atlanta 13-6H","33-105-02720","48.109347","-103.727700","[{""number"": ""471"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""872"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23360"
"40","Lewis Federal","33-053-08946","48.035917","-103.603072","[{""number"": ""1.8 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""2.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W36047"
"41","Chalmers 5301 44-24","33-053-05924","48.055603","-103.605153","[{""number"": ""370"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""4 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28342"
"42","Lewis Federal","33-053-06549","48.035917","-103.603072","[{""number"": ""730"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.4 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W30189"
"43","Atlanta","33-105-02726","48.604911","-103.729808","[{""number"": ""793"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.3 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23366"
"44","Dahl Federal 2-15H","33-053-03846",NULL,NULL,"[{""number"": ""2.4 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.2 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W21796"
"45","BASIC GAME & FISH 34-3","33-053-02102",NULL,NULL,"[{""number"": ""759"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""758"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W11745"
"46","Wade","33-053-06051","48.041019","-103.603006","[{""number"": ""953"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""7.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28744"
"47","Jefferies 5301 43-12B","33-053-03936","48.082767","-103.612014","[{""number"": ""1 k"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.3 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W22220"
"48","Larry","33-053-04071","48.082767","-103.607403","[{""number"": ""557"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.4 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W22740"
"49","Foley Federal","Not Found","48.082761","-103.611606","[]",NULL,NULL,NULL,"W20863"
"50","Atlanta 12-6H","33-105-02721","48.109347","-103.727884","[{""number"": ""214"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""509"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23361"
"51","Atlanta 2-6H","33-105-02731","48.109353","-103.731363","[{""number"": ""379"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""740"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23371"
"52","Ash Federal 5300 11-18T","33-053-04211","48.079792","-103.602700","[{""number"": ""218"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""181"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23230"
"53","Chalmers 5300","33-053-06022","48.061200","-103.602808","[{""number"": ""351"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""2.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28637"
"54","lnnoko 5301","33-053-03937","48.082789","-103.613744","[]",NULL,NULL,NULL,"W22221"
"55","Gramma Federal 5300","33-053-06232","48.026172","-103.602875","[{""number"": ""48"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""268"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W29317"
"56","Wade Federal 5300","33-053-05995","3.603169","-103.562008","[{""number"": ""557"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""4.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28554"
"57","Kline Federal 5300 31-18 6B","33-053-06057","48.074489","-103.603161","[]",NULL,NULL,NULL,"W28756"
"58","Corps of Engineers","33-053-02148",NULL,NULL,"[{""number"": ""761"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""761"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W11920"
"59","Not Found","Not Found",NULL,NULL,"[]",NULL,NULL,NULL,"data"
"60","Kline Federal 5300 41-18 12TX","33-053-06030","48.079272",NULL,"[{""number"": ""421"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28658"
"61","Chalmers 5300","33-053-06024","48.061200","-103.602808","[{""number"": ""311"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28649"
"62","Columbus Federal 2-16H","33-053-04855","48.075349","-103.669818","[{""number"": ""675"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.5 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W25159"
"63","Kline Federal 5300 31-18","33-053-06056","48.074489","-103.603161","[{""number"": ""522"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""3.2 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28755"
"64","Atlanta 14-6H","33-105-02719","48.109272","-103.727516","[{""number"": ""789"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.3 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23359"
"65","Wade Federal 5300 21-30","33-053-06131","48.042383","-103.603169","[{""number"": ""644"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.9 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28978"
"66","Wade Federal 5300","33-053-05998","48.042383","-103.603169","[{""number"": ""287"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.7 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28557"
"67","Kline Federal 5300","33-053-06055","48.074489","-103.603161","[{""number"": ""153"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""1.6 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28754"
"68","Carson SWD 5301","33-053-90329","48.060597","-103.615564","[]",NULL,NULL,NULL,"W90329"
"69","LEWIS","33-053-02556",NULL,NULL,"[{""number"": ""604"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""604"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W15358"
"70","Chalmers 5301 44-24 3BR","33-053-06010",NULL,NULL,"[{""number"": ""657"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""6.1 k"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W28599"
"71","Atlanta 11-6H","33-105-02722","48.109347","-103.728069","[{""number"": ""389"", ""content"": ""Barrels of Oil Produced in Oct 2024""}, {""number"": ""763"", ""content"": ""MCF of Gas Produced in Oct 2024""}]","Active","Oil & Gas","Williston","W23362"
